threshold,precision,recall,f1,tp,fp,tn,fn,phase1_pass,phase1_filtered,phase1_reduction_pct
0.5,0.4939759036144578,0.9111111111111111,0.640625,41,42,322,4,409,0,0.0
0.55,0.5522388059701493,0.8222222222222222,0.6607142857142857,37,30,334,8,274,135,33.007334963325185
0.6,0.6153846153846154,0.7111111111111111,0.6597938144329897,32,20,344,13,170,239,58.43520782396088
0.65,0.7317073170731707,0.6666666666666666,0.6976744186046512,30,11,353,15,106,303,74.08312958435208
0.7,0.78125,0.5555555555555556,0.6493506493506493,25,7,357,20,68,341,83.37408312958435
0.75,0.875,0.4666666666666667,0.6086956521739131,21,3,361,24,48,361,88.26405867970661
